0.30632 0.86691 0.12813 -0.89758 0.90644 1.34534 -1.31983 0.22612 -1.20892 -1.00926 0
0.14736 0.91836 0.42318 -1.01253 1.32623 0.60918 0.01326 -0.09643 -0.16164 -0.70633 0
0.08154 1.00243 0.32979 -0.34268 1.07124 0.36413 -0.23178 0.45910 0.07533 -0.52968 0
0.04073 0.90282 0.48368 0.04337 0.63776 0.27881 -0.64055 0.83635 -0.19516 -0.47383 0
0.07100 0.84178 0.59740 -0.59989 0.97244 0.39491 -0.21519 0.27202 -0.24684 -0.59626 0
0.39515 0.90146 0.08970 -1.15057 1.01426 1.42650 -0.98116 -0.05624 -1.03515 -1.02070 0
0.52305 0.89930 0.23038 -1.43967 0.98647 1.34213 -0.19330 -0.47497 -0.60268 -0.91846 0
0.10671 1.05963 0.12901 -0.58098 1.34914 0.60715 -0.38711 0.31492 -0.06686 -0.67293 0
0.11221 0.86500 0.31143 -0.45882 0.87314 0.81812 -1.13158 0.56023 -0.84355 -0.79170 0
-0.05353 1.12942 0.24632 0.28213 1.05057 -0.05896 -0.18394 0.94067 0.58556 -0.30006 0
0.76308 1.05699 -0.35444 -0.52809 0.19417 1.90475 -1.56850 0.40593 -1.06179 -0.96154 0
0.09427 0.98305 0.24489 -0.20457 0.91830 0.54510 -0.74304 0.66525 -0.27559 -0.61029 0
0.58165 1.10933 0.04106 -0.68836 0.67562 0.98834 0.13802 -0.02343 0.24962 -0.57616 0
0.30934 1.03542 0.15974 -0.13911 0.58150 0.69098 -0.53612 0.60102 -0.06423 -0.53606 0
0.76940 0.94697 -0.26356 -1.05613 0.39890 2.15590 -1.65298 0.04202 -1.50729 -1.16827 0
0.20630 0.84434 0.35554 -1.31900 1.34745 1.02690 -0.48509 -0.22714 -0.78002 -0.94457 0
0.17221 1.01837 0.17182 0.34498 0.41111 0.52824 -1.03998 1.10040 -0.22716 -0.48364 0
0.40999 1.17565 0.18696 -0.25321 0.72921 0.35319 0.67971 0.22511 0.96780 -0.27672 0
0.30158 0.80757 0.16097 -1.20644 1.05357 1.50647 -1.41550 0.02603 -1.49508 -1.14359 0
